ABF,https://cdn.frankwatching.com/app/uploads/2018/10/ABF.jpg,true
AGSystems,,
AmazonMws,,
APC,,
Aramex,,
ArrowXL,,
Asendia,,
AsendiaHK,,
AustraliaPost,,
BlueDart,,
Boxberry,,
Cainiao,,
CanadaPost,,
Canpar,,
ColumbusLastMile,,
ChinaPost,,
Chronopost,,
ColisPrive,,
Colissimo,,
Correios,,
CorreosChile,,
CorreosCostaRica,,
Delhivery,,
Deliv,,
DeutschePost,,
DHLEcommerceAsia,,
DHLExpress,,
DHLFreight,,
DHLGermany,,
DHLGlobalMail,,
DHLGlobalmailInternational,,
Dicom,,
DirectLink,,
Dominos,,
Doorman,,
DPD,,
DPDUK,,
ECFirstclass,,
EcomExpress,,
ChinaEMS,,
Estes,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi53ayP-8rhAhUqxlQKHdmsAp4QjRx6BAgBEAU&url=https%3A%2F%2Fshiphawk.com%2Fshipping-software%2Festes%2F&psig=AOvVaw3_zC1jOJc7ZfhqDFDiuPbL&ust=1555172484421277,
Fastway,,
FedEx,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjD2-mE-8rhAhVnwFQKHVl_APgQjRx6BAgBEAU&url=https%3A%2F%2Fgraffica.info%2Fquien-diseno-logotipo-fedex%2F&psig=AOvVaw2Pekz2fp-4Z5Dz_z-spCGT&ust=1555172464031309,true
FedExFreight,,
FedExMailview,,
FedExSameDayCity,,
FedExUK,,
FedexSmartPost,,
FlytExpress,,
Freipost,,
Globegistics,,
GLS,,
GSO,,
HongKongPost,,
IMEX,,
IndiaPost,,
InterlinkExpress,,
InternationalBridge,,
IsraelPost,,
JPPost,,
KuronekoYamato,,
LaPoste,,
LaserShip,,
LatvijasPasts,,
Liefery,,
LoomisExpress,,
LSO,,
NanjingWoyuan,,
Network4,,
Newgistics,,
NewZealandPost,,
NinjaVan,,
Norco,,
NovaPoshta,,
OnTrac,,
OnTracDirectPost,,
OrangeDS,,
Parcelforce,,
Pilot,,
POSMalaysia,,
Postmates,,
PostNL,,
Posten,,
PostNord,,
Purolator,,
RavenPost,,
RLCarriers,,
RoyalMail,,
RRDonnelley,,
SFExpress,,
SingaporePost,,
SMSAExpress,,
SpeeDee,,
TaiwanPost,,
TestCarrier,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwiu1eSX-8rhAhUmslQKHTxeBnoQjRx6BAgBEAU&url=https%3A%2F%2Fwww.estilosdeaprendizaje.org%2Ftest-de-estilos-de-aprendizaje.htm&psig=AOvVaw1a1K_11DqOM556cUnm8iiU&ust=1555172503855214,true
Toll,,
TForce,,
UberRUSH,,
UDS,,
Ukrposhta,,
UPS,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj7r8uj-8rhAhUqj1QKHd7QAMwQjRx6BAgBEAU&url=https%3A%2F%2Fwww.kisspng.com%2Fpng-united-parcel-service-logo-united-states-postal-se-6300652%2F&psig=AOvVaw1F19ApxDPTpcsuBcf3CZFt&ust=1555172529581030,true
UPSFreight,,
UPSIparcel,,
UPSMailInnovations,,true
USFHolland,,
USPS,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwiTxtnCwObhAhVEHqwKHW9tDpUQjRx6BAgBEAU&url=https%3A%2F%2Fwww.usps.com%2Fshipping%2Ftrackandconfirm.htm&psig=AOvVaw0avf-dM3dln05T0AAqbesw&ust=1556118795449455,true
WatkinsAndShepard,,
wnDirect,,
Yanwen,,
Yodel,,
YunExpress,,