renewal,Renewal
hose-charge,Hose Charge
hose-charge-special,Hose Charge Special
heater-or-refrigeration,Heater or Refrigeration
high-security-red-in-bond-seal-charge,High Security Red In-bond Seal Charge
heavy-lift,Heavy Lift
hazardous-materials-surcharge-charge,Hazardous Materials Surcharge Charge
hazardous-cargo-on-deck,Hazardous Cargo on Deck
hazardous-storage,Hazardous Storage
industry-price-allowance,Industry Price Allowance
income-freight-manufacturing-to-shipping-point,Income Freight (Manufacturing to Shipping Point)
inspection-fee,Inspection Fee
cooling-service,Cooling Service
idler-car-charge,Idler Car Charge
improper-documentation,Improper Documentation
inside-delivery,Inside Delivery
interdivision-profit,Interdivision Profit
inbound-freight-charges,Inbound Freight Charges
interstate-highway-toll,Interstate/Highway Toll
invoice-adjustment,Invoice Adjustment
icing-inhibitor-charge,Icing Inhibitor Charge
item-percentage,Item Percentage
item-unit,Item-Unit
island-delivery-charge,Island Delivery Charge
initial-license-fee,Initial License Fee
island-pick-up-charge,Island Pick-Up Charge
impactographs,Impactographs
intermodal-shipment-service-charge,Intermodal Shipment Service Charge
insurance-surcharge,Insurance Surcharge
interplant-charge,Interplant Charge
interest-on-refund,Interest on refund
insurance,Insurance
interpreter-expense,Interpreter Expense
intra-plant-charge,Intra-plant Charge
inside-pick-up,Inside Pick-up
irish-arbitraries,Irish Arbitraries
interest-on-security-deposit,Interest on security deposit
intermodal-storage-origin,Intermodal Storage (Origin)
intermodal-storage-destination,Intermodal Storage (Destination)
insulated-tank-charge,Insulated Tank Charge
interline-transfer-charge,Interline Transfer Charge
junction-settlement-charge,Junction Settlement Charge
glass-kit,Glass Kit
labor-charges,Labor Charges
extra-labor-helper-service,Extra Labor (Helper Service)
lading-adjustment-charge,Lading Adjustment Charge
labor-repair-and-return-orders,Labor (Repair and Return Orders)
one-time-license-fee,One-Time License Fee
labor-adjustment-allowance,Labor Adjustment Allowance
license-and-title,License and Title
layover-charges,Layover Charges
light-bar-service-charge,Light Bar Service Charge
land-currency-adjustment-factor-20-foot-container,Land Currency Adjustment Factor - 20 Foot Container
land-currency-adjustment-factor-40-foot-container,Land Currency Adjustment Factor - 40 Foot Container
late-order-charge,Late Order Charge
percent-differential-less-than-container,Percent Differential - Less than Container
labor-cost-of-removal,Labor Cost of Removal
loading-allowance,Loading Allowance
loading,Loading
unloading-allowance,Unloading Allowance
locomotive-delayed-in-switching-service,Locomotive Delayed in Switching Service
less-than-container,Less than Container
lift-charge-intermodal,Lift Charge (Intermodal)
linehaul-from-port-of-debarkation,Linehaul from Port of Debarkation
lift-gate-truck-or-forklift-service-at-pick-up-delivery,Lift Gate (Truck) or Forklift Service at Pick-up/Delivery
lodging,Lodging
linehaul-service,Linehaul Service
recurring-license-fee,Recurring License Fee
liability-of-carrier-charge,Liability of Carrier Charge
limited-liability,Limited Liability
lot-charge,Lot Charge
lead-factor,Lead Factor
loan-fee,Loan Fee
local-sales-tax-all-applicable-sales-taxes-by-taxing-authorities-below-the-state-level,Local Sales Tax (All Applicable Sales Taxes by Taxing Authorities Below the State Level)
labor-modify,"Labor, Modify"
liner-terms-at-port-of-debarkation,Liner Terms at Port of Debarkation
liner-terms-at-port-of-embarkation,Liner Terms at Port of Embarkation
labor-no-trouble-found,"Labor, No Trouble Found"
loading-labor-charges,Loading (Labor Charges)
local-delivery-drayage,Local Delivery/Drayage
late-payment-charge,Late payment charge
linehaul-percent-differential,Linehaul Percent Differential
laboratory-pack-fee,Laboratory Pack Fee
liquidated-damages,Liquidated Damages
labor-service,Labor Service
lashing,Lashing
lifeline-surcharge,Lifeline Surcharge
labor-test-and-calibrate,"Labor, Test and Calibrate"
linehaul-to-port-of-embarkation,Linehaul to Port of Embarkation
lubricant-charge,Lubricant Charge
locomotive-under-own-power,Locomotive Under Own Power
leaking-underground-storage-tax-lust,Leaking underground storage tax (LUST)
layover-service-charge,Layover Service Charge
metals-surcharge,Metals Surcharge
mileage-or-travel,Mileage or Travel
mileage-fee-for-repair-and-return,Mileage Fee (For Repair and Return)
minimum-order-minimum-billing-charge,Minimum Order/Minimum Billing Charge
monthly-rental,Monthly Rental
marriage-rule,Marriage Rule
modified-atmosphere,Modified Atmosphere
machining-charge,Machining Charge
molding,Molding
mount-demount,Mount/Demount
meals-or-lodging-charge,Meals or Lodging Charge
escort-service-with-overnight-subsistence,Escort Service with Overnight Subsistence
escort-service,Escort Service
escort-service-telephone,Escort Service (Telephone)
manifest-charge,Manifest Charge
manufacturing,Manufacturing
message-rate-adjustment,Message Rate Adjustment
message-charge,Message Charge
minimum-charge,Minimum Charge
special-mileage-movements,Special Mileage Movements
minimum-guarantee,Minimum Guarantee
markup-charge,Markup Charge
minimum-bill-of-lading-charge,Minimum Bill of Lading Charge
meals,Meals
minimum-maximum-charge,Minimum/Maximum Charge
mill-freight,Mill Freight
market-development-funds,Market Development Funds
metropolitan-transit-tax,Metropolitan Transit Tax
notify-consignee,Notify Consignee
motor-surveillance-service,Motor Surveillance Service
miscellaneous-parts-charge,Miscellaneous Parts Charge
marking-or-tagging-charge,Marking or Tagging Charge
medical-report-charge,Medical Report Charge
other-accessorial-service-charge,Other Accessorial Service Charge
miscellaneous-charge,Miscellaneous Charge
meter-charge,Meter Charge
municipal-surcharge,Municipal Surcharge
motor-vehicle-report-mvr-charge,Motor Vehicle Report (MVR) Charge
special-motor-surveillance-charge,Special Motor Surveillance Charge
venting-instructions,Venting Instructions
non-generated-freight,Non Generated Freight
new-store-allowance,New Store Allowance
nozzle-charge,Nozzle Charge
order-notify-charge,Order Notify Charge
non-document-surcharge,Non-document Surcharge
carrier-notification-charge,Carrier Notification Charge
n-h-d-wharfage,N.H.D. Wharfage
new-store-discount,New Store Discount
new-warehouse-discount,New Warehouse Discount
new-york-delivery-charge,New York Delivery Charge
new-york-pick-up-charge,New York Pick-up Charge
o-t-o-charge,O.T.O. Charge
overrun-charge,Overrun Charge
overtime-loading,Overtime Loading
ocean-charges----hazardous,Ocean Charges -- Hazardous
over-height-container,Over Height Container
collect-on-delivery-deletion-charge,Collect on Delivery Deletion Charge
official-report-charge,Official Report Charge
fumigation,Fumigation
on-carriage,On Carriage
option-charge-color-fabric-office-furniture,Option Charge (Color Fabric Office Furniture)
on-deck-break-bulk-differential,On Deck Break Bulk Differential
order-flat,Order-Flat
optional-charge,Optional Charge
operator-credit,Operator Credit
out-of-route-miles,Out of Route Miles
outside-charge,Outside Charge
optional-software-support-for-operational-support-systems,Optional Software Support for Operational Support Systems
optional-software-support-for-switching-systems,Optional Software Support for Switching Systems
out-of-zone-pick-up-or-delivery,Out of Zone Pick-up or Delivery
over-dimension,Over Dimension
over-width-container,Over Width Container
percent-of-product,Percent of Product
pump-air-charge,Pump Air Charge
premium-charge,Premium Charge
premium-transportation,Premium Transportation
price-deviation,Price Deviation
professional-fees,Professional Fees
promotional-allowance,Promotional Allowance
promotional-discount,Promotional Discount
pump-charge,Pump Charge
preparation-and-delivery,Preparation and Delivery
parts-adjustment-allowance,Parts Adjustment Allowance
parts-charge,Parts Charge
priced-parts-charge,Priced Parts Charge
pickup-of-shipments-on-saturday-sunday-and-or-holidays-requiring-absolute-next-day-delivery-charge,"Pickup of Shipments on Saturday, Sunday, and/or Holidays Requiring Next Day Delivery Charge"
prior-billing-amount,Prior billing amount
permits-bonds-escort-attendant,Permits Bonds Escort Attendant
pier-charges-other-than-wharfage,Pier Charges Other Than Wharfage
protective-service-charge,Protective Service Charge
city-pick-up,City Pick-up
prior-delivery-of-bill-charge,Prior Delivery Of Bill Charge
preloading-charge,Preloading Charge
pickup-and-delivery-from-storage-in-transit,Pickup and Delivery from Storage in Transit
pickup-and-delivery-beyond-service-area-charge,Pickup and Delivery Beyond Service Area Charge
pallet-exchange-charge,Pallet Exchange Charge
penalty-charge,Penalty Charge
permit-charge,Permit Charge
power-factor-adjustment,Power Factor Adjustment
photocopy,Photocopy
photographs,Photographs
pier-pick-up-and-or-delivery,Pier Pick-up and/or Delivery
packing-surcharge,Packing Surcharge
insurance-placement-cost-charge,Insurance Placement Cost Charge
pallets-skids-platforms,Pallets/Skids/Platforms
prior-month-credit,Prior Month Credit
paint-and-materials,Paint and Materials
pickup-of-shipments-requiring-same-day-delivery-service-charge,Pickup of Shipments Requiring Same Day Delivery Service Charge
pickup-of-shipments-requiring-same-day-delivery-service-and-or-delivery-at-a-specified-time-charge,Pickup of Shipments Requiring Same Day Delivery Service and/or Delivery at Specified Time Charge
normal-pump-charge,Normal Pump Charge
special-pump-charge,Special Pump Charge
prior-period-net-adjustment,Prior Period Net Adjustment
piano-organ-carry,Piano/Organ Carry
proof-of-delivery,Proof of Delivery
police-report-charge,Police Report Charge
positioning-at-origin,Positioning at Origin
per-pound-charge,Per Pound Charge
pickup-and-delivery-service-for-perishables-charge,Pickup and Delivery Service for Perishables Charge
per-item-charge,Per Item Charge
pick-up-allowance,Pick/Up Allowance
precious-metal-content,Precious Metal Content
pallet-charge,Pallet Charge
per-order-charge,Per Order Charge
performance-award,Performance Award
placement-and-or-removal-charge,Placement and/or Removal Charge
parish-county-sales-tax-only,Parish/County Sales Tax (only)
prepaid-usage-allowance,Prepaid Usage Allowance
prior-balance,Prior Balance
pre-carriage,Pre-carriage
pre-carriage-excess,Pre-carriage Excess
parking,Parking
prelodge-charge,Prelodge Charge
premise-use,Premise Use
prior-period-rebook,Prior Period Rebook
prior-period-reversal,Prior Period Reversal
protective-service-cold,Protective Service - Cold
preparation-of-special-documents,Preparation of Special Documents
protective-service-security-with-armed-guards,Protective Service Security with Armed Guards
protective-service-heat,Protective Service - Heat
protective-service-security,Protective Service Security
postage,Postage
tobacco-products-report-charge,Tobacco Products Report Charge
protective-tarp-for-security-purposes,Protective Tarp for Security Purposes
pick-up-charge,Pick-up Charge
pick-up-and-delivery,Pick-up and Delivery
pack-and-unpack,Pack and Unpack
bonded-privately-owned-vehicle-charge,Bonded Privately Owned Vehicle Charge
detention-of-privately-owned-vehicle-charge,Detention of Privately Owned Vehicle Charge
inoperable-privately-owned-vehicle-charge,Inoperable Privately Owned Vehicle Charge
loading-unloading-of-privately-owned-vehicle-charge,Loading/Unloading of Privately Owned Vehicle Charge
privately-owned-vehicle-processing,Privately Owned Vehicle Processing
stop-offs-for-privately-owned-vehicle-shipment-charge,Stop-offs for Privately Owned Vehicle Shipment Charge
privately-owned-vehicle-in-truckaway-service-charge,Privately Owned Vehicle in Truckaway Service Charge
pier-charges-wharfage,Pier Charges - Wharfage
pallet-allowance,Pallet Allowance
priority-service-charge,Priority Service Charge
quantity-surcharge,Quantity Surcharge
quantity-discount,Quantity Discount
rebate,Rebate
reclamation-federal,"Reclamation, Federal"
reclamation-state,"Reclamation, State"
recovery-allowance,Recovery Allowance
redistribution-allowance,Redistribution Allowance
rental-deduction,Rental Deduction
repack-charge,Repack Charge
retainer,Retainer
resellers-discount,Resellers Discount
restocking-charge,Restocking Charge
royalties,Royalties
roll-rebate,Roll Rebate
ramping,Ramping
no-return-credit-allowance,No Return Credit Allowance
repair-at-buyers-expense-charge,Repair at buyers expense charge
reconsignment-charge,Reconsignment Charge
reconsign-consignee-charge,Reconsign Consignee Charge
repair-at-customer-expense-charge,Repair at customer expense charge
repair-at-government-expense-charge,Repair at government expense charge
redelivery,Redelivery
recoopering-at-owners-or-shippers-expense,Recoopering (at Owner's or Shipper's Expense)
reconnect-charge,Reconnect charge
reconsign-delivery-charge,Reconsign Delivery Charge
research-and-development-fee,Research & development fee
railhead-handling,Railhead Handling
return-cargo-charge,Return Cargo Charge
regulatory-fee,Regulatory Fee
refrigeration,Refrigeration
regulatory-tax,Regulatory tax
requested-labor-charge,Requested Labor Charge
residential-pick-up,Residential Pick-up
request-via-canada,Request Via Canada
residential-delivery,Residential Delivery
returned-load,Returned Load
refund,Refund
reefer-maintenance,Reefer Maintenance
regain-allowance,Regain Allowance
regain-charge,Regain Charge
recurring-hardware-maintenance-charge,Recurring Hardware Maintenance Charge
riding-attendant-charge,Riding Attendant Charge
released-value-charge-in-excess-of-carrier-maximum-liability-charge,Released Value Charge in Excess of Carrier Maximum Liability Charge
retail-loss-allowance,Retail Loss Allowance
rents-and-leases,Rents and Leases
relinquishment-charge,Relinquishment Charge
relocation-of-vehicle,Relocation of Vehicle
rocky-mountain-bureau-583-item-1100-arbitrary-charge,Rocky Mountain Bureau 583 Item 1100 Arbitrary Charge
return-of-empty-container-charge,Return of Empty Container Charge
refrigeration-mechanical-detention,Refrigeration/Mechanical Detention
return-movement-of-pallet-charge,Return Movement of Pallet Charge
rail-surveillance,Rail Surveillance
roll-out-adjustment,Roll Out Adjustment
reduction-prepalletized-cargo,Reduction Prepalletized Cargo
reefer-cargo-percent-differential,Reefer Cargo Percent Differential
reel-cable,Reel Cable
reel-deposit,Reel Deposit
refurbishing-charge,Refurbishing Charge
rental-charge,Rental Charge
repair-charge,Repair Charge
regulatory-required-refund,Regulatory required refund
recurring-software-maintenance-charge,Recurring Software Maintenance Charge
reshipment,Reshipment
restricted-speeds,Restricted Speeds
respotting,Respotting
reservations,Reservations
rate-code,Rate Code
subject-to-cooperative-advertising-allowance,Subject to Cooperative Advertising Allowance
shipping-and-handling,Shipping and Handling
service-charge-with-cash-discount,Service Charge (with Cash Discount)
scrap-allowance,Scrap Allowance
shrink-wrap-charge,Shrink-Wrap Charge
special-credit,Special Credit
state-motor-fuel,State Motor Fuel
stenciling-charge,Stenciling Charge
super-fund-excise-tax,Super Fund Excise Tax
surcharge-dollar-value,Surcharge (Dollar Value)
surcharge-percentage,Surcharge (Percentage)
stopcharge,Stopcharge
state-sales-charge,State Sales Charge
service-assistance-program-surcharge,Service Assistance Program Surcharge
shipment-holdover-on-weekends-charge,Shipment Holdover on Weekends Charge
saturday-pick-up-or-delivery-charge,Saturday Pick-up or Delivery Charge
standby-charge,Standby Charge
sublet,Sublet
special-seal-charge,Special Seal Charge
special-containers,Special Containers
small-order-charge,Small Order Charge
scale-charge,Scale Charge
scale-charge-unloading,Scale Charge Unloading
special-detention-charge,Special Detention Charge
split-delivery,Split Delivery
special-dromedary-service,Special Dromedary Service
special-equipment-charge,Special Equipment Charge
stairs-elevator-excess-carry,"Stairs, Elevator, Excess Carry"
segregating-sorting,Segregating (Sorting)
self-unloader,Self Unloader
ship-exact-quantity-charge,Ship Exact Quantity Charge
service-charge,Service Charge
security-escort-vehicle-service,Security Escort Vehicle Service
single-factor-origination-destination,Single Factor Origination/Destination
stuffing-charge,Stuffing Charge
single-factor-orginiation-port-of-debarkation,Single Factor Orginiation/Port of Debarkation
single-factor-port-of-embarkation-destination,Single Factor Port of Embarkation/Destination
special-train-movement,Special Train Movement
single-pick-up,Single Pick-up
shipment-holdover-on-holidays-charge,Shipment Holdover on Holidays Charge
shipper-load,Shipper Load
state-hazardous-substance-tax,State Hazardous Substance Tax
shipment-holdover-on-weekdays-charge,Shipment Holdover on Weekdays Charge
skirting-and-unskirting,Skirting and Unskirting
street-lamps-charge,Street lamps charge
slip-sheet-charge,Slip Sheet Charge
state-metropolitan-transit-authority-surcharge,State/Metropolitan Transit Authority Surcharge
satellite-surveillance-service,Satellite Surveillance Service
shipment-from-non-temp-storage,Shipment from Non-temp Storage
stop-off-charge,Stop-off Charge
stop-off-at-pier-charge,Stop-off at Pier Charge
special-allowance,Special Allowance
special-buy,Special Buy
special-permits,Special Permits
spreader-charge,Spreader Charge
spool-charge,Spool Charge
split-pick-up-at-pier-charge,Split Pick-Up at Pier Charge
special-freight-supplements,Special Freight Supplements
spotting-of-trailer,Spotting of Trailer
split-pick-up,Split Pick-up
storage,Storage
surveying-routes,Surveying Routes
salvage,Salvage
super-bag-charge,Super Bag Charge
stripping-sorting-and-consolidation,"Stripping, Sorting, and Consolidation"
single-shipment-fee,Single Shipment Fee
select-charge,Select Charge
pole-wood-service-charge,"Pole, Wood-service Charge"
shipside-pickup,Shipside Pickup
software-support-service,Software Support Service
sales-tax-state-and-local,Sales Tax (State and Local)
pole-lashing-equipment-ple-surcharge,Pole Lashing Equipment (PLE) Surcharge
sales-and-use-tax,Sales and Use Tax
conductivity-anti-static-additive,Conductivity/Anti-static Additive
state-surcharge,State Surcharge
stopoff-at-destination,Stopoff at Destination
container-stuffing,Container Stuffing
standard-labor-charge,Standard Labor Charge
steaming-charge,Steaming Charge
stowage-charge,Stowage Charge
stopping-in-transit,Stopping in Transit
stopoff-at-orgination,Stopoff at Orgination
storage-in-transit,Storage in Transit
special-tooling-rework-charge,Special tooling rework charge
special-use,Special Use
sufferance-warehouse-charge-export-or-import,Sufferance Warehouse Charge (Export or Import)
supervisor-charge,Supervisor Charge
surcharge,Surcharge
single-invoice-allowance,Single Invoice Allowance
manual-surveillance-of-shipment,Manual Surveillance of Shipment
storage-of-vehicles,Storage of Vehicles
switching-charge,Switching Charge
telephone-charge,Telephone Charge
tank-rental,Tank Rental
temporary-allowance,Temporary Allowance
tax-on-transportation,Tax on Transportation
temporary-voluntary-allowance,Temporary Voluntary Allowance
terminal-differential,Terminal Differential
testing-charge,Testing Charge
tool-charge,Tool Charge
testing-allowance,Testing Allowance
trade-in,Trade In
transportation-and-setup,Transportation and Setup
truckload-discount,Truckload Discount
tarping-charge,Tarping Charge
tax-charge,Tax Charge
governmental-tax,Governmental Tax
telegram-chargeback,Telegram Chargeback
transportation-charge-minimum-rate,Transportation Charge (Minimum Rate)
truck-detention,Truck Detention
terminal-charge,Terminal Charge
trimming-charge,Trimming Charge
multi-tank-surveillance-service,Multi-Tank Surveillance Service
tendering-of-multiple-vehicles,Tendering of Multiple Vehicles
total-assessorial-charges,Total Assessorial Charges
tofc-service-charge,TOFC Service Charge
carrier-equipment-pool-charge,Carrier Equipment Pool Charge
throughput-container-charge,Throughput Container Charge
third-party-service,Third-Party Service
travel-charge,Travel Charge
trailer-rental-charge,Trailer Rental Charge
travel-expense,Travel Expense
transfer-charge,Transfer Charge
termination,Termination
transit,Transit
process-in-transit-privilege,Process in Transit Privilege
transferred-charges,Transferred Charges
thruway-charge,Thruway Charge
testing-services-charge,Testing Services Charge
tank-surveillance-service,Tank Surveillance Service
track-storage,Track Storage
tank-car-allowance,Tank Car Allowance
transportation-direct-billing,Transportation-Direct Billing
trade-discount,Trade Discount
local-tax,Local Tax
tax-on-miscellaneous-charges,Tax on Miscellaneous Charges
third-party-allowance,Third Party Allowance
throughput-allowance,Throughput Allowance
state-tax,State Tax
transportation-third-party-billing,Transportation - Third Party Billing
tire-repair-and-replace,Tire Repair and Replace
transportation-vendor-provided,Transportation - Vendor Provided
turning-charge,Turning Charge
two-door-pick-up,Two Door Pick Up
under-carriage-furnished-by-carrier-charge,Under Carriage Furnished By Carrier Charge
unloading,Unloading
unloading-labor-charges,Unloading (Labor Charges)
usage-plan-detail-charge,Usage Plan Detail Charge
unpacking,Unpacking
unloading-reloading-charge,Unloading/Reloading Charge
use-special-type-flat-car,Use - Special Type Flat Car
u-s-vehicles,U.S. Vehicles
unabsorbed-switching,Unabsorbed Switching
utilities-disconnect-and-connect,Utilities Disconnect and Connect
use-charge-tooling-personnel,Use charge tooling/personnel
up-charge,Up Charge
unsalable-merchandise-allowance,Unsalable Merchandise Allowance
use-tax,Use Tax
vendor-freight,Vendor Freight
volume-discount,Volume Discount
van-cleaning,Van Cleaning
voluntary-contribution-charge,Voluntary contribution charge
excess-mileage-for-stop-off-delivery-of-personal-vehicles-charge,Excess Mileage for Stop Off Delivery of Personal Vehicles Charge
vehicles-furnished-but-not-used,Vehicles Furnished But Not Used
vehicles-inoperable,Vehicles Inoperable
virgin-island-transfer-charge,Virgin Island Transfer Charge
vehicle-ordered-but-not-used,Vehicle Ordered but Not Used
stop-off-delivery-of-personal-vehicles-charge,Stop Off Delivery of Personal Vehicles Charge
vehicles-in-truckway,Vehicles in Truckway
vehicle-load-allowance,Vehicle Load Allowance
vehicle-prep-charge-courtesy-delivery,Vehicle Prep Charge (courtesy delivery)
war-risk-surcharge,War Risk Surcharge
wide-area-telephone-service-wats-usage-credit,Wide Area Telephone Service (WATS) Usage Credit
wharfage-breakbulk,Wharfage - Breakbulk
wharfage-container,Wharfage - Container
waterfront-delivery-charge,Waterfront Delivery Charge
weather-protection,Weather Protection
weighing-charge-intermodal,Weighing Charge (Intermodal)
wharfage,Wharfage
wharfage-and-handling,Wharfage & Handling
wasted-futile-trip,Wasted/Futile Trip
warehouse-charge,Warehouse Charge
war-risk-crew-bonus,War Risk Crew Bonus
load-weighing-charge,Load Weighing Charge
empty-weighing-charge,Empty Weighing Charge
war-risk-insurance,War Risk Insurance
warehouse-allowance,Warehouse Allowance
waiting-time,Waiting Time
waiting-time-service-charge,Waiting Time Service Charge
weight-verification-charge,Weight Verification Charge
wharfage-charge,Wharfage Charge
protective-service-rule-25,Protective Service Rule 25
protective-service-rule-27,Protective Service Rule 27
protective-service-rule-37,Protective Service Rule 37
protective-service-rule-75,Protective Service Rule 75
protective-service-rule-95,Protective Service Rule 95
protective-service-rule-140,Protective Service Rule 140
protective-service-rule-160,Protective Service Rule 160
protective-service-rule-165,Protective Service Rule 165
protective-service-rule-500,Protective Service Rule 500
protective-service-rule-510,Protective Service Rule 510
protective-service-rule-518,Protective Service Rule 518
protective-service-rule-530,Protective Service Rule 530
protective-service-rule-531,Protective Service Rule 531
protective-service-rule-545,Protective Service Rule 545
protective-service-rule-565,Protective Service Rule 565
protective-service-rule-570,Protective Service Rule 570
protective-service-rule-580,Protective Service Rule 580
protective-service-rule-581,Protective Service Rule 581
protective-service-rule-705,Protective Service Rule 705
protective-service-rule-710,Protective Service Rule 710
protective-service-rule-711,Protective Service Rule 711
protective-service-rule-712,Protective Service Rule 712
protective-service-rule-716,Protective Service Rule 716
protective-service-rule-720,Protective Service Rule 720
protective-service-rule-725,Protective Service Rule 725
protective-service-rule-727,Protective Service Rule 727
protective-service-rule-735,Protective Service Rule 735
protective-service-rule-740,Protective Service Rule 740
protective-service-rule-760,Protective Service Rule 760
protective-service-rule-815,Protective Service Rule 815
quality-differential,Quality Differential
protective-service-rule-26,Protective Service Rule 26
protective-service-rule-715,Protective Service Rule 715
protective-service-rule-745,Protective Service Rule 745
protective-service-rule-755,Protective Service Rule 755
first-flight-out,First Flight Out
mutually-defined,Mutually Defined
unknown,Unknown